;--- x
;; xA'_1
xarobaq PV      perforate;spoil
xarobiq IV_yu   perforate;spoil
;; xarobaq_2
xarobaq N       hellebore (early-flowering plant)
;
;--- xrt
;; xarat-u_1
xarat   PV-t    perforate
xorut   IV      perforate
;; xurot_1
xurot   N       hole;bore
OaxorAt N       holes;eyelets
;; xir~iyt_1
xir~iyt N/ap    experienced;skilled
;
;; xartiyt_1
xartiyt N       rhinoceros
;
;--- xrj
;; xaraj-u_1
xaraj   PV_intr go out;exit;leave
xoruj   IV_intr go out;exit;leave
;; xar~aj_1
xar~aj  PV      oust;remove
xar~ij  IV_yu   oust;remove
;; Oaxoraj_1
Oaxoraj PV      oust;remove;emit
xorij   IV_yu   oust;remove;emit
xoraj   IV_Pass_yu      be ousted;be removed;be emitted
;; taxar~aj_1
taxar~aj        PV_intr be graduated;graduate
taxar~aj        IV_intr be graduated;graduate
;; taxAraj_1
taxAraj PV      disengage;disassociate
taxAraj IV      disengage;disassociate
;; Aisotaxoraj_1
Aisotaxoraj     PV      extract;derive;conclude
sotaxorij       IV      extract;derive;conclude
;; xaroj_1
xaroj   N       expenditure;outlay
;; xarAj_1
xarAj   N       kharaj (land tax)
;; xarAjiy~_1
xarAjiy~        Nall    kharaj (land tax)     [[xarAjiy~/ADJ]]
;; xurAj_1
xurAj   N       abscess
;; xuruwj_1
xuruwj  N       exit;getting out;departure;deviation
;; xuruwjAt_1
xuruwj  NAt     trimming;piping
;; xir~iyj_1
xir~iyj Nall    graduate
;; maxoraj_1
maxoraj Ndu     exit;outlet;escape
maxArij Ndip    exits;outlets
;; taxoriyj_1
taxoriyj        NduAt   upbringing;extraction;derivation
;; IixorAj_1
IixorAj NduAt   production;extraction;ousting
;; taxar~uj_1
taxar~uj        NduAt   graduation
;; taxAruj_1
taxAruj NduAt   disengagement;disassociation
;; AisotixorAj_1
AisotixorAj     NduAt   extraction;removal;deduction
;; xArija_1
xArija  FW-Wa   outside;out of     [[xArija/PREP]]
xAriji  FW-Wa   outside;out of     [[xAriji/PREP]]
xArija  FW-Wa-a outside;out of     [[xArija/PREP]]
xAriji  FW-Wa-i outside;out of     [[xAriji/PREP]]
xArij   FW-Wa-o outside;out of     [[xArij/PREP]]
;; xArij_1
xArij   N/ap    outside;exterior;outer part
;; xArij_2
xArij   NF      outside     [[xArij/ADV]]
;; xArijap_1
xArijap N0      (Al) Kharga
;; xArijiy~_1
xArijiy~        Nall    outer;foreign;outside     [[xArijiy~/ADJ]]
;; xawArij_1
xawArij Ndip    dissidents;rebels;Khawarij
;; xArijiy~ap_1
xArijiy~        Nap     foreign ministry;foreign office     [[xArijiy~/NOUN]]
;; muxorij_1
muxorij Nall    screen/stage director
